Name,First Name,Last Name,Sex,SSN,DOB,Birthday,Age,Zip,Education,Marital Status,Occupation,Salary
Daniel Rivera,Daniel,Rivera,Male,171-88-4368,11/03/59,11/03,64,55012,Bachelors degree,Never married,Legal secretary,50k to 100k
Kevin Young,Kevin,Young,Male,674-62-0180,11/07/59,11/07,64,12369,Some college,Married,Materials engineer,100k to 200k
Christopher Garcia,Christopher,Garcia,Male,834-67-4930,03/31/03,03/31,21,89879,Bachelors degree,Married,Scientist/ research (medical),25k to 50k
Benjamin Lopez,Benjamin,Lopez,Male,584-21-1925,11/20/04,11/20,19,10556,Doctorate,Married,Communications engineer,Under 25k
Matthew Cruz,Matthew,Cruz,Male,800-50-6389,06/09/63,06/09,61,11387,Associate degree,Separated,English as a second language teacher,Under 25k
Rachel Williams,Rachel,Williams,Female,793-31-7433,01/15/81,01/15,43,11979,High school/GED,Married,Surveyor/ building control,Over 200k
John Mckinney,John,Mckinney,Male,735-70-6101,07/02/74,07/02,50,93965,No degree,Never married,Minerals surveyor,25k to 50k
Mark Carr,Mark,Carr,Male,415-97-3057,07/27/92,07/27,32,84841,No degree,Married,Environmental education officer,50k to 100k
Alejandro Delacruz,Alejandro,Delacruz,Male,879-36-1814,02/12/93,02/12,31,07758,Masters degree,Never married,Telecommunications researcher,50k to 100k
Tabitha Griffith,Tabitha,Griffith,Female,667-65-0229,11/25/60,11/25,63,09012,No degree,Married,Technical sales engineer,Under 25k
Erin Wood,Erin,Wood,Female,306-60-6232,10/21/68,10/21,55,71709,Associate degree,Married,Therapist/ sports,Under 25k
John Hendricks,John,Hendricks,Male,416-20-0434,11/27/68,11/27,55,20108,High school/GED,Married,Clinical molecular geneticist,50k to 100k
Edward Salas,Edward,Salas,Male,584-57-4407,05/26/82,05/26,42,00858,High school/GED,Never married,Administrator/ Civil Service,100k to 200k
James Obrien,James,Obrien,Male,064-93-3450,02/25/04,02/25,20,75151,Some college,Widowed,Fashion designer,50k to 100k
John Quinn,John,Quinn,Male,824-75-5473,05/24/88,05/24,36,58361,Some college,Never married,Licensed conveyancer,100k to 200k
Veronica Case,Veronica,Case,Female,613-90-9612,07/09/64,07/09,60,59340,High school/GED,Separated,Bonds trader,Under 25k
Ashley Duffy,Ashley,Duffy,Female,836-88-9124,01/17/95,01/17,29,12567,Bachelors degree,Married,Sports development officer,Under 25k
Mariah Huff,Mariah,Huff,Female,465-07-8107,02/03/06,02/03,18,92641,Bachelors degree,Married,Sound technician/ broadcasting/film/video,50k to 100k
Anthony Gonzales,Anthony,Gonzales,Male,753-91-1311,05/22/61,05/22,63,62665,Bachelors degree,Married,Manufacturing systems engineer,50k to 100k
Erica Jones,Erica,Jones,Female,399-17-5708,10/18/86,10/18,37,39768,No degree,Married,Facilities manager,100k to 200k
Michele Mckinney,Michele,Mckinney,Female,367-14-1036,03/13/02,03/13,22,20247,Associate degree,Never married,Therapist/ nutritional,100k to 200k
Scott Bradshaw,Scott,Bradshaw,Male,788-45-9606,01/27/85,01/27,39,07597,Bachelors degree,Married,Museum/gallery conservator,50k to 100k
Emily Mcintyre,Emily,Mcintyre,Female,350-85-2789,04/09/05,04/09,19,81587,High school/GED,Married,Speech and language therapist,100k to 200k
Charles Mullins,Charles,Mullins,Male,416-32-9383,10/07/62,10/07,61,43568,No degree,Never married,Corporate investment banker,50k to 100k
Jon Saunders,Jon,Saunders,Male,879-53-1881,03/28/72,03/28,52,73815,Some college,Never married,Radiation protection practitioner,100k to 200k
Paige Johnson,Paige,Johnson,Female,811-77-3828,11/23/80,11/23,43,78353,Bachelors degree,Never married,Accountant/ chartered,25k to 50k
Kimberly Thompson,Kimberly,Thompson,Female,697-94-8873,12/26/79,12/26,44,26805,Masters degree,Married,Ceramics designer,Under 25k
Donna Vance,Donna,Vance,Female,399-89-3316,06/16/75,06/16,49,33121,High school/GED,Never married,Designer/ ceramics/pottery,Over 200k
Tony Harper,Tony,Harper,Male,551-30-5644,09/04/93,09/04,31,04781,Associate degree,Never married,Arboriculturist,100k to 200k
Kimberly Williams,Kimberly,Williams,Female,140-82-1303,09/17/00,09/17,23,53065,Bachelors degree,Divorce,Field trials officer,100k to 200k
Debra Baker,Debra,Baker,Female,022-81-7603,06/15/65,06/15,59,80256,Masters degree,Married,Mining engineer,Over 200k
Brian Holt,Brian,Holt,Male,812-25-5018,03/16/61,03/16,63,35248,Associate degree,Married,Museum/gallery curator,50k to 100k
Brittany Phillips,Brittany,Phillips,Female,518-99-0361,02/20/85,02/20,39,73579,High school/GED,Married,Environmental manager,Under 25k
Danielle Shelton,Danielle,Shelton,Female,848-70-9440,10/23/01,10/23,22,91154,Bachelors degree,Married,Legal secretary,100k to 200k
Angel Zhang,Angel,Zhang,Female,582-35-2121,08/02/98,08/02,26,34120,High school/GED,Married,Tourism officer,50k to 100k
Janet Goodman,Janet,Goodman,Female,290-53-1363,02/27/67,02/27,57,41987,Bachelors degree,Never married,Editor/ magazine features,Under 25k
Ryan Jones,Ryan,Jones,Male,884-61-7754,06/21/94,06/21,30,28895,No degree,Divorce,Nurse/ adult,50k to 100k
Brenda Huff,Brenda,Huff,Female,521-21-1709,01/30/72,01/30,52,27975,High school/GED,Widowed,Librarian/ academic,50k to 100k
Amber Wilson,Amber,Wilson,Female,545-74-0196,06/25/95,06/25,29,76308,High school/GED,Never married,Surveyor/ commercial/residential,Over 200k
Shane Schmidt,Shane,Schmidt,Male,202-28-3729,07/08/92,07/08,32,11376,High school/GED,Divorce,Furniture conservator/restorer,50k to 100k
John Fox,John,Fox,Male,783-75-1294,04/27/93,04/27,31,27085,Bachelors degree,Married,Exercise physiologist,Over 200k
Christopher Juarez,Christopher,Juarez,Male,118-22-2026,03/22/83,03/22,41,98330,Bachelors degree,Never married,Mental health nurse,Over 200k
Zachary Williams,Zachary,Williams,Male,293-32-5311,11/08/61,11/08,62,72920,Some college,Never married,Psychologist/ sport and exercise,50k to 100k
Zachary Rosario,Zachary,Rosario,Male,232-51-1961,03/24/06,03/24,18,50541,Bachelors degree,Married,Engineer/ aeronautical,25k to 50k
Debra Russo,Debra,Russo,Female,739-18-1406,12/04/84,12/04,39,61947,Doctorate,Married,Barrister,100k to 200k
Blake Robinson,Blake,Robinson,Male,667-34-4975,09/10/70,09/10,54,45299,Some college,Married,Community education officer,25k to 50k
Connie Price,Connie,Price,Female,637-22-6358,01/15/71,01/15,53,71416,High school/GED,Married,Senior tax professional/tax inspector,100k to 200k
Edward Brooks,Edward,Brooks,Male,377-69-0269,02/04/60,02/04,64,47223,Masters degree,Married,Clinical cytogeneticist,25k to 50k
Dennis Ramsey,Dennis,Ramsey,Male,009-34-5378,09/28/86,09/28,37,55699,Bachelors degree,Married,Energy engineer,Over 200k
Timothy Black,Timothy,Black,Male,574-70-7945,01/06/69,01/06,55,71809,No degree,Never married,Administrator/ charities/voluntary organisations,Under 25k
Rebecca Green,Rebecca,Green,Female,778-93-2361,11/27/93,11/27,30,48240,Doctorate,Never married,Scientist/ clinical (histocompatibility and immunogenetics),50k to 100k
Richard Wagner,Richard,Wagner,Male,183-85-6590,04/05/75,04/05,49,87174,Associate degree,Never married,Marine scientist,Over 200k
James Mooney,James,Mooney,Male,781-56-3579,11/09/66,11/09,57,85665,Masters degree,Never married,Therapeutic radiographer,25k to 50k
Karen Richardson,Karen,Richardson,Female,266-51-4137,12/14/00,12/14,23,03226,High school/GED,Never married,Geophysical data processor,50k to 100k
Lisa Norman,Lisa,Norman,Female,634-66-2420,07/14/85,07/14,39,52623,Bachelors degree,Married,Barrister,50k to 100k
Patricia Carlson,Patricia,Carlson,Female,706-23-1601,01/04/95,01/04,29,92472,High school/GED,Married,Commercial/residential surveyor,25k to 50k
Raymond Decker,Raymond,Decker,Male,726-95-7417,12/22/98,12/22,25,03347,Some college,Never married,Dance movement psychotherapist,25k to 50k
Alexander Shaw,Alexander,Shaw,Male,269-04-1220,03/04/68,03/04,56,95796,Bachelors degree,Married,Records manager,Under 25k
Kelly Gutierrez,Kelly,Gutierrez,Female,648-01-8375,07/21/00,07/21,24,14161,High school/GED,Married,Environmental manager,Over 200k
Jamie Abbott,Jamie,Abbott,Female,033-21-3731,08/03/77,08/03,47,50368,Some college,Married,Engineer/ energy,100k to 200k
Adam Riley,Adam,Riley,Male,885-28-6461,03/18/03,03/18,21,05676,Some college,Widowed,Special educational needs teacher,Over 200k
Samantha Smith,Samantha,Smith,Female,151-92-1987,03/22/61,03/22,63,12780,Masters degree,Never married,Surveyor/ hydrographic,Over 200k
Ann Smith,Ann,Smith,Female,612-84-7380,06/01/93,06/01,31,12848,Bachelors degree,Widowed,Commercial horticulturist,50k to 100k
Michael Herrera,Michael,Herrera,Male,434-51-9585,05/14/74,05/14,50,89760,High school/GED,Never married,Building surveyor,100k to 200k
Tara Bernard,Tara,Bernard,Female,665-93-2720,04/15/62,04/15,62,26619,Bachelors degree,Married,Retail banker,50k to 100k
Matthew Brown,Matthew,Brown,Male,614-77-3412,10/22/67,10/22,56,53636,Some college,Married,Licensed conveyancer,Over 200k
Zachary Blake,Zachary,Blake,Male,332-01-6985,10/21/81,10/21,42,83097,Bachelors degree,Married,Primary school teacher,Over 200k
Paige Ryan,Paige,Ryan,Female,562-28-3779,10/21/94,10/21,29,41356,Bachelors degree,Never married,Food technologist,Over 200k
George Rice,George,Rice,Male,148-42-9429,09/10/67,09/10,57,31141,No degree,Widowed,Museum education officer,25k to 50k
Michael Brown,Michael,Brown,Male,511-38-3348,08/08/86,08/08,38,66357,No degree,Never married,Company secretary,Under 25k
Douglas Walker,Douglas,Walker,Male,663-67-9065,08/07/04,08/07,20,43657,Masters degree,Married,Fine artist,25k to 50k
William Valdez,William,Valdez,Male,233-02-2039,03/14/92,03/14,32,64710,Associate degree,Divorce,Engineer/ water,25k to 50k
Megan Mendoza,Megan,Mendoza,Female,281-75-8832,03/29/88,03/29,36,40034,High school/GED,Married,Health service manager,100k to 200k
James Rivas,James,Rivas,Male,066-70-5527,05/16/00,05/16,24,18415,Bachelors degree,Married,Archivist,Over 200k
Karen Donovan,Karen,Donovan,Female,277-78-2103,01/09/01,01/09,23,03712,Masters degree,Widowed,Financial planner,Over 200k
Emily Kline,Emily,Kline,Female,558-36-9406,04/18/61,04/18,63,44160,Bachelors degree,Married,Psychologist/ clinical,Over 200k
Lindsey Miller,Lindsey,Miller,Female,031-74-6329,04/18/84,04/18,40,91707,High school/GED,Married,Naval architect,Over 200k
Wesley Garcia,Wesley,Garcia,Male,261-22-4747,04/14/96,04/14,28,92637,Some college,Married,Engineer/ energy,100k to 200k
Joseph Mcclure,Joseph,Mcclure,Male,122-72-6226,04/07/61,04/07,63,89472,No degree,Never married,Immunologist,50k to 100k
Glenda Franklin,Glenda,Franklin,Female,458-08-1816,02/22/89,02/22,35,48365,No degree,Never married,Quarry manager,50k to 100k
Melissa Richards,Melissa,Richards,Female,041-28-1268,04/14/98,04/14,26,30187,Some college,Never married,Medical laboratory scientific officer,Over 200k
Chad Rivers,Chad,Rivers,Male,447-53-9470,08/22/01,08/22,23,71412,Associate degree,Never married,Ranger/warden,50k to 100k
Scott Lee,Scott,Lee,Male,343-07-9562,08/20/87,08/20,37,78645,Bachelors degree,Married,Therapist/ nutritional,Over 200k
James Gomez,James,Gomez,Male,056-64-7571,10/01/65,10/01,58,75771,Bachelors degree,Never married,Theme park manager,100k to 200k
Amanda Williams,Amanda,Williams,Female,037-09-8599,11/26/76,11/26,47,45217,High school/GED,Divorce,Commercial/residential surveyor,100k to 200k
Abigail Ferguson,Abigail,Ferguson,Female,525-71-8422,07/06/00,07/06,24,31839,High school/GED,Never married,Television/film/video producer,100k to 200k
Kristine Cain,Kristine,Cain,Female,305-68-7126,10/09/01,10/09,22,41904,Bachelors degree,Married,Biomedical scientist,100k to 200k
Brandon Harper,Brandon,Harper,Male,278-03-7045,10/15/60,10/15,63,47009,Some college,Never married,Financial trader,50k to 100k
Daniel Nelson,Daniel,Nelson,Male,820-32-1238,05/08/04,05/08,20,42144,Associate degree,Married,Corporate investment banker,Under 25k
Kathleen Moore,Kathleen,Moore,Female,640-79-4680,09/19/69,09/19,54,97684,Bachelors degree,Never married,Psychotherapist/ dance movement,Over 200k
Brett Smith,Brett,Smith,Male,692-26-9032,06/06/85,06/06,39,46772,Bachelors degree,Married,Neurosurgeon,25k to 50k
Sarah Duran,Sarah,Duran,Female,074-85-2326,10/11/90,10/11,33,19362,Masters degree,Married,Microbiologist,100k to 200k
Katherine Garcia,Katherine,Garcia,Female,371-23-3796,09/24/75,09/24,48,44102,High school/GED,Married,Physiological scientist,Under 25k
Richard Johnson,Richard,Johnson,Male,799-82-6290,01/01/93,01/01,31,74239,Masters degree,Divorce,Psychiatrist,50k to 100k
Cody Jones,Cody,Jones,Male,514-12-2469,05/31/85,05/31,39,58293,Some college,Never married,Fish farm manager,25k to 50k
Sherri Wiley,Sherri,Wiley,Female,605-74-5330,05/21/67,05/21,57,44238,Bachelors degree,Married,Accountant/ chartered,100k to 200k
Patricia Chen,Patricia,Chen,Female,764-78-4289,05/10/78,05/10,46,48976,High school/GED,Married,Health and safety adviser,50k to 100k
Stacy Woods,Stacy,Woods,Female,889-87-2084,08/27/90,08/27,34,98304,Bachelors degree,Never married,Dentist,100k to 200k
Caitlin James,Caitlin,James,Female,321-54-2974,07/25/87,07/25,37,38407,Associate degree,Married,Housing manager/officer,100k to 200k
Ryan Walker,Ryan,Walker,Male,289-90-8389,10/08/91,10/08,32,23029,Masters degree,Never married,Scientist/ research (maths),100k to 200k
Steven Young,Steven,Young,Male,654-09-6948,03/27/94,03/27,30,70073,Bachelors degree,Married,Dentist,50k to 100k
Angel Yoder,Angel,Yoder,Female,155-93-3515,10/11/63,10/11,60,99516,Masters degree,Married,Automotive engineer,Under 25k
Kathy Olson,Kathy,Olson,Female,105-36-4086,08/03/64,08/03,60,14077,Bachelors degree,Never married,Insurance underwriter,25k to 50k
Deborah Davis,Deborah,Davis,Female,197-17-8492,08/01/88,08/01,36,36837,High school/GED,Married,Occupational psychologist,100k to 200k
Brooke Kim,Brooke,Kim,Female,632-60-9256,05/04/93,05/04,31,02975,Masters degree,Never married,Ambulance person,50k to 100k
Mary Conway,Mary,Conway,Female,297-66-9668,10/18/72,10/18,51,22226,High school/GED,Married,Scientist/ product/process development,100k to 200k
Misty Bennett,Misty,Bennett,Female,116-10-0167,12/09/63,12/09,60,96715,High school/GED,Married,Geoscientist,Over 200k
Rachael Villa,Rachael,Villa,Female,245-42-8753,05/16/62,05/16,62,98889,High school/GED,Never married,Designer/ interior/spatial,50k to 100k
Timothy Bailey,Timothy,Bailey,Male,853-53-9812,06/11/76,06/11,48,31370,Masters degree,Married,Chief Operating Officer,100k to 200k
Ricardo Johnson,Ricardo,Johnson,Male,218-01-1228,04/10/69,04/10,55,88353,Associate degree,Married,Paediatric nurse,Under 25k
Michael Williams,Michael,Williams,Male,591-89-2015,08/19/75,08/19,49,23213,High school/GED,Never married,Surgeon,25k to 50k
Danielle Green,Danielle,Green,Female,630-63-8329,12/04/68,12/04,55,57917,High school/GED,Married,Geographical information systems officer,50k to 100k
Danielle Martinez,Danielle,Martinez,Female,154-48-7191,04/09/97,04/09,27,20247,Some college,Divorce,Contractor,100k to 200k
Laura Calderon,Laura,Calderon,Female,813-73-4220,06/15/71,06/15,53,59022,High school/GED,Married,Engineer/ water,50k to 100k
Seth Dunn,Seth,Dunn,Male,107-59-7717,04/20/91,04/20,33,91863,Some college,Never married,Patent examiner,100k to 200k
Madison Smith,Madison,Smith,Female,473-66-3269,11/27/81,11/27,42,98608,High school/GED,Never married,Copywriter/ advertising,Under 25k
Darrell Nelson,Darrell,Nelson,Male,635-32-6713,11/06/75,11/06,48,03964,High school/GED,Married,Building surveyor,Under 25k
Jessica Brown,Jessica,Brown,Female,468-09-5744,01/25/03,01/25,21,64704,Masters degree,Never married,Special educational needs teacher,100k to 200k
Amy Torres,Amy,Torres,Female,747-03-4371,11/01/62,11/01,61,09057,High school/GED,Widowed,Bookseller,Under 25k
Michael Carlson,Michael,Carlson,Male,585-39-5300,09/30/93,09/30,30,17318,Some college,Never married,Designer/ multimedia,Under 25k
Jennifer Waters,Jennifer,Waters,Female,441-92-4226,09/11/04,09/11,20,51246,Some college,Married,Chief Financial Officer,100k to 200k
Michael Hale,Michael,Hale,Male,455-98-3253,01/02/89,01/02,35,29937,Some college,Married,Records manager,100k to 200k
Shannon Salinas,Shannon,Salinas,Female,216-65-3208,03/05/66,03/05,58,98493,Bachelors degree,Divorce,Professor Emeritus,25k to 50k
Bryan Singh,Bryan,Singh,Male,065-03-1664,03/20/93,03/20,31,68252,High school/GED,Never married,Art therapist,Over 200k
Vanessa Massey,Vanessa,Massey,Female,454-26-7458,01/01/82,01/01,42,52676,High school/GED,Never married,Scientist/ forensic,50k to 100k
Alexander Hubbard,Alexander,Hubbard,Male,249-21-0868,09/19/60,09/19,63,38290,Bachelors degree,Married,Network engineer,100k to 200k
Perry Clark,Perry,Clark,Male,168-45-6427,07/11/70,07/11,54,15173,Associate degree,Married,General practice doctor,Under 25k
Thomas Decker,Thomas,Decker,Male,050-21-7910,08/12/93,08/12,31,63014,Masters degree,Never married,Clinical cytogeneticist,100k to 200k
Jay Johnson,Jay,Johnson,Male,575-23-9219,01/13/77,01/13,47,98958,High school/GED,Married,Conservation officer/ historic buildings,Under 25k
Christine Powell,Christine,Powell,Female,465-64-2621,09/25/95,09/25,28,74030,High school/GED,Never married,Medical physicist,50k to 100k
Kaitlyn Jones,Kaitlyn,Jones,Female,698-72-0884,11/16/60,11/16,63,01966,High school/GED,Married,Financial manager,100k to 200k
Amanda Dennis,Amanda,Dennis,Female,639-11-7797,12/11/69,12/11,54,39306,No degree,Never married,Purchasing manager,100k to 200k
Kim Bennett,Kim,Bennett,Female,282-62-3845,07/26/66,07/26,58,07038,Some college,Widowed,Public affairs consultant,25k to 50k
Jay Walls,Jay,Walls,Male,459-13-7898,10/22/99,10/22,24,92494,High school/GED,Married,Chief Operating Officer,25k to 50k
Gregory Vaughan,Gregory,Vaughan,Male,107-30-7949,05/26/88,05/26,36,62487,High school/GED,Never married,Health and safety adviser,50k to 100k
Debbie Perez,Debbie,Perez,Female,479-69-5877,10/31/68,10/31,55,77994,Associate degree,Never married,Speech and language therapist,25k to 50k
Joseph Wong,Joseph,Wong,Male,821-17-2366,02/07/76,02/07,48,69919,Masters degree,Widowed,Commercial art gallery manager,50k to 100k
Wayne Rocha,Wayne,Rocha,Male,342-93-4010,01/13/75,01/13,49,43934,No degree,Married,Oncologist,25k to 50k
Tammy Pierce,Tammy,Pierce,Female,459-40-4750,08/20/86,08/20,38,20533,High school/GED,Never married,Surveyor/ hydrographic,Under 25k
Sabrina Patterson,Sabrina,Patterson,Female,225-02-9527,07/30/92,07/30,32,46020,Doctorate,Never married,Risk analyst,50k to 100k
Kenneth Bartlett,Kenneth,Bartlett,Male,225-81-2250,12/30/66,12/30,57,96364,Masters degree,Never married,Dramatherapist,100k to 200k
Matthew Phillips,Matthew,Phillips,Male,157-37-0288,11/23/01,11/23,22,20922,High school/GED,Never married,Museum/gallery conservator,Under 25k
Patricia Johnson,Patricia,Johnson,Female,822-80-0524,06/29/73,06/29,51,76836,High school/GED,Never married,Engineer/ aeronautical,25k to 50k
Melissa Sandoval,Melissa,Sandoval,Female,820-46-6856,07/06/89,07/06,35,43004,Professional degree,Married,Scientist/ research (maths),100k to 200k
Andrea Jackson,Andrea,Jackson,Female,487-93-5851,04/03/73,04/03,51,51304,Some college,Never married,Naval architect,25k to 50k
Brian Miller,Brian,Miller,Male,864-15-2962,07/05/00,07/05,24,45635,No degree,Never married,Engineer/ land,100k to 200k
Sierra Braun,Sierra,Braun,Female,745-54-6271,01/07/85,01/07,39,02639,Bachelors degree,Married,Learning mentor,100k to 200k
Denise Harris,Denise,Harris,Female,314-21-3876,08/25/87,08/25,37,01832,High school/GED,Married,Psychologist/ occupational,50k to 100k
Austin Olson,Austin,Olson,Male,786-72-8475,08/13/69,08/13,55,57125,Doctorate,Never married,Education officer/ community,25k to 50k
Sheila Howard,Sheila,Howard,Female,178-63-4282,11/03/74,11/03,49,10622,Associate degree,Never married,Theatre stage manager,50k to 100k
Brianna Gonzalez,Brianna,Gonzalez,Female,121-15-2145,04/03/67,04/03,57,27985,Masters degree,Never married,Printmaker,50k to 100k
Nicole Morris,Nicole,Morris,Female,431-55-0281,03/08/99,03/08,25,08037,Bachelors degree,Married,Multimedia programmer,50k to 100k
Kristopher Webb,Kristopher,Webb,Male,253-93-9380,08/15/00,08/15,24,05144,High school/GED,Divorce,Chemical engineer,50k to 100k
Jacob Kent,Jacob,Kent,Male,872-11-0767,03/18/02,03/18,22,66473,Masters degree,Married,Copywriter/ advertising,Under 25k
Karen Ochoa,Karen,Ochoa,Female,511-63-8127,01/03/90,01/03,34,99835,High school/GED,Never married,Production engineer,50k to 100k
Vickie Martin,Vickie,Martin,Female,289-01-7167,10/29/78,10/29,45,84275,No degree,Divorce,Financial controller,100k to 200k
Richard Patton,Richard,Patton,Male,049-87-2774,03/04/90,03/04,34,24733,Bachelors degree,Divorce,Accountant/ chartered public finance,Under 25k
Tanya French,Tanya,French,Female,217-57-1241,10/02/99,10/02,24,81825,Some college,Never married,Seismic interpreter,Over 200k
Christina Chavez,Christina,Chavez,Female,496-23-5369,05/02/83,05/02,41,46291,Some college,Married,Holiday representative,50k to 100k
Daniel Jones,Daniel,Jones,Male,310-48-9235,07/23/97,07/23,27,09320,High school/GED,Married,Technical sales engineer,100k to 200k
Sydney Mercado,Sydney,Mercado,Female,738-23-8029,02/25/01,02/25,23,54058,Doctorate,Never married,Science writer,100k to 200k
Steven Burns,Steven,Burns,Male,043-74-8565,11/06/73,11/06,50,88661,Bachelors degree,Divorce,Chartered loss adjuster,50k to 100k
Luke Fox,Luke,Fox,Male,323-68-9749,08/08/94,08/08,30,66991,Bachelors degree,Married,Music tutor,25k to 50k
Jacqueline Hoover,Jacqueline,Hoover,Female,174-62-3078,06/06/65,06/06,59,12646,Masters degree,Never married,Risk analyst,Over 200k
Sarah Osborne,Sarah,Osborne,Female,337-41-7465,05/07/71,05/07,53,00577,Bachelors degree,Married,Lighting technician/ broadcasting/film/video,50k to 100k
James Le,James,Le,Male,055-18-9782,04/11/76,04/11,48,64014,Some college,Never married,Meteorologist,50k to 100k
Matthew Potts,Matthew,Potts,Male,278-39-6463,08/23/86,08/23,38,41816,Bachelors degree,Never married,Sports therapist,50k to 100k
Robert Dyer,Robert,Dyer,Male,031-12-2818,11/02/82,11/02,41,96364,High school/GED,Married,Museum/gallery curator,50k to 100k
Erika Ramos,Erika,Ramos,Female,489-85-0133,12/21/98,12/21,25,93175,Masters degree,Never married,Environmental education officer,100k to 200k
Andrea Durham,Andrea,Durham,Female,580-21-2404,10/16/80,10/16,43,80681,High school/GED,Separated,Sales professional/ IT,Under 25k
Miguel Dixon,Miguel,Dixon,Male,844-69-6106,06/16/87,06/16,37,54234,Masters degree,Married,Mental health nurse,Over 200k
Kelly Miller,Kelly,Miller,Female,583-92-2168,10/14/87,10/14,36,13190,No degree,Married,Retail buyer,25k to 50k
Keith Stark,Keith,Stark,Male,853-63-3379,02/08/01,02/08,23,56194,High school/GED,Married,Magazine features editor,Under 25k
Austin Alexander,Austin,Alexander,Male,242-57-0782,01/28/03,01/28,21,94126,Some college,Married,Animal nutritionist,100k to 200k
Jason Valdez,Jason,Valdez,Male,824-12-6245,09/06/96,09/06,28,56784,High school/GED,Married,Dance movement psychotherapist,50k to 100k
Terry Daniel,Terry,Daniel,Male,374-74-6637,05/24/06,05/24,18,88316,High school/GED,Married,Publishing rights manager,100k to 200k
